2019-01-02 17:13:00 +0000 UTC	Bold o'donahue	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Bold+o%27donahue
2019-01-02 17:16:00 +0000 UTC	Wild Colonial Boy	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Wild+Colonial+Boy
2019-01-02 17:19:00 +0000 UTC	South Australia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/South+Australia
2019-01-02 17:23:00 +0000 UTC	Cry Of The Burren	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Cry+Of+The+Burren
2019-01-02 17:27:00 +0000 UTC	Blowin' in the Wind	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Blowin%27+in+the+Wind
2019-01-02 17:30:00 +0000 UTC	Farewell to Carlingford	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Farewell+to+Carlingford
2019-01-02 17:32:00 +0000 UTC	The Molly Maguires	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/The+Molly+Maguires
2019-01-02 17:36:00 +0000 UTC	You Couldn't Have Come at a Better Time	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/You+Couldn%27t+Have+Come+at+a+Better+Time
2019-01-02 17:41:00 +0000 UTC	Dunmore Lasses	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Dunmore+Lasses
2019-01-02 17:43:00 +0000 UTC	Follow Me up to Carlow	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Follow+Me+up+to+Carlow
2019-01-02 17:48:00 +0000 UTC	The Dutchman	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/The+Dutchman
2019-01-02 17:52:00 +0000 UTC	Homeland	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Homeland
2019-01-02 17:55:00 +0000 UTC	A Nation Once Again	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/A+Nation+Once+Again
2019-01-02 17:59:00 +0000 UTC	Shoals Of Herring	The Kilkennys	Blowin' in the Wind	https://www.last.fm/music/The+Kilkennys/_/Shoals+Of+Herring
2019-01-02 18:02:00 +0000 UTC	Spanish lady	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Spanish+lady
2019-01-02 18:06:00 +0000 UTC	What’s Left Of The Flag	Flogging Molly	Drunken Lullabies	https://www.last.fm/music/Flogging+Molly/_/What%E2%80%99s+Left+Of+The+Flag
2019-01-02 18:12:00 +0000 UTC	The Green Fields of France	The Fureys	Twenty One Years On	https://www.last.fm/music/The+Fureys/_/The+Green+Fields+of+France
2019-01-02 18:15:00 +0000 UTC	Wild Rover	The Dubliners	Cream Of Irish Folk	https://www.last.fm/music/The+Dubliners/_/Wild+Rover
2019-01-02 18:18:00 +0000 UTC	Drunken Sailor	The Irish Rovers	Drunken Sailor	https://www.last.fm/music/The+Irish+Rovers/_/Drunken+Sailor
2019-01-02 18:22:00 +0000 UTC	Devil's Dance Floor	Flogging Molly	Swagger	https://www.last.fm/music/Flogging+Molly/_/Devil%27s+Dance+Floor
2019-01-02 18:26:00 +0000 UTC	Caledonia	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Caledonia
2019-01-02 18:29:00 +0000 UTC	The Galway Girl	Mundy	The Best That Is Irish	https://www.last.fm/music/Mundy/_/The+Galway+Girl
2019-01-02 18:33:00 +0000 UTC	The Worst Day Since Yesterday	Flogging Molly	Swagger	https://www.last.fm/music/Flogging+Molly/_/The+Worst+Day+Since+Yesterday
2019-01-02 18:36:00 +0000 UTC	Galway Girl	The Kilkennys	Essential Irish Pub Songs	https://www.last.fm/music/The+Kilkennys/_/Galway+Girl
2019-01-02 18:40:00 +0000 UTC	Requiem for a Dying Song	Flogging Molly	Float	https://www.last.fm/music/Flogging+Molly/_/Requiem+for+a+Dying+Song
2019-01-02 18:41:00 +0000 UTC	God Rest Ye Merry Gentlemen	The Irish Rovers	Songs of Christmas	https://www.last.fm/music/The+Irish+Rovers/_/God+Rest+Ye+Merry+Gentlemen
2019-01-02 18:44:00 +0000 UTC	Fiddlers Green	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Fiddlers+Green
2019-01-02 18:49:00 +0000 UTC	Before the Deluge	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Before+the+Deluge
2019-01-02 18:54:00 +0000 UTC	July	Mundy	24 Star Hotel	https://www.last.fm/music/Mundy/_/July
2019-01-02 18:57:00 +0000 UTC	Molly Malone	The Dubliners	The Dubliners	https://www.last.fm/music/The+Dubliners/_/Molly+Malone
2019-01-02 19:00:00 +0000 UTC	Boys of the Old Brigade	The Davitts	Celtic Anthems	https://www.last.fm/music/The+Davitts/_/Boys+of+the+Old+Brigade
2019-01-02 19:03:00 +0000 UTC	Whiskey in the Jar	The Pogues	30:30 The Essential Collection	https://www.last.fm/music/The+Pogues/_/Whiskey+in+the+Jar
2019-01-02 19:06:00 +0000 UTC	I'll Tell Me Ma	The Irish Travelers	St. Patrick's Day: 50 Irish Drinking Songs  Folk Music from Ireland	https://www.last.fm/music/The+Irish+Travelers/_/I%27ll+Tell+Me+Ma
2019-01-02 19:09:00 +0000 UTC	Last Embrace	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Last+Embrace
2019-01-02 19:13:00 +0000 UTC	Rocky Road To Dublin	The Young Dubliners	Pure... Celtic	https://www.last.fm/music/The+Young+Dubliners/_/Rocky+Road+To+Dublin
2019-01-02 19:15:00 +0000 UTC	Join the British Army	The Davitts	Celtic Anthems	https://www.last.fm/music/The+Davitts/_/Join+the+British+Army
2019-01-02 19:18:00 +0000 UTC	Rocky Road To Dublin	The Kilkennys	The Colour of Freedom	https://www.last.fm/music/The+Kilkennys/_/Rocky+Road+To+Dublin
2019-01-02 19:21:00 +0000 UTC	Come out Ye Black and Tans	The Davitts	Celtic Anthems	https://www.last.fm/music/The+Davitts/_/Come+out+Ye+Black+and+Tans
2019-01-02 19:24:00 +0000 UTC	The Crack Was 90	Dublin City Ramblers	Dublin City Ramblers Live	https://www.last.fm/music/Dublin+City+Ramblers/_/The+Crack+Was+90
2019-01-02 19:28:00 +0000 UTC	O Come All Ye Faithful	Celtic Thunder	The Classic Christmas Album	https://www.last.fm/music/Celtic+Thunder/_/O+Come+All+Ye+Faithful
2019-01-03 10:04:00 +0000 UTC	Plasticine	One Night Only	Where The Sleepless Go	https://www.last.fm/music/One+Night+Only/_/Plasticine
2019-01-03 10:06:00 +0000 UTC	Lights	Editors	The Back Room	https://www.last.fm/music/Editors/_/Lights
2019-01-03 10:10:00 +0000 UTC	Munich	Editors	The Back Room	https://www.last.fm/music/Editors/_/Munich
2019-01-03 10:13:00 +0000 UTC	Blood	Editors	The Back Room	https://www.last.fm/music/Editors/_/Blood
2019-01-03 10:19:00 +0000 UTC	Fall	Editors	The Back Room	https://www.last.fm/music/Editors/_/Fall
2019-01-03 10:22:00 +0000 UTC	All Sparks	Editors	The Back Room	https://www.last.fm/music/Editors/_/All+Sparks
2019-01-03 10:27:00 +0000 UTC	Camera	Editors	The Back Room	https://www.last.fm/music/Editors/_/Camera
2019-01-03 10:31:00 +0000 UTC	Fingers In The Factories	Editors	The Back Room	https://www.last.fm/music/Editors/_/Fingers+In+The+Factories
2019-01-03 10:35:00 +0000 UTC	Bullets	Editors	The Back Room	https://www.last.fm/music/Editors/_/Bullets
2019-01-03 10:38:00 +0000 UTC	Someone Says	Editors	The Back Room	https://www.last.fm/music/Editors/_/Someone+Says
2019-01-03 10:44:00 +0000 UTC	Open Your Arms	Editors	The Back Room	https://www.last.fm/music/Editors/_/Open+Your+Arms
2019-01-03 10:48:00 +0000 UTC	Distance	Editors	The Back Room	https://www.last.fm/music/Editors/_/Distance
2019-01-03 10:53:00 +0000 UTC	Let Your Good Heart Lead You Home	Editors	The Back Room	https://www.last.fm/music/Editors/_/Let+Your+Good+Heart+Lead+You+Home
2019-01-03 10:57:00 +0000 UTC	You Are Fading	Editors	The Back Room	https://www.last.fm/music/Editors/_/You+Are+Fading
2019-01-03 11:01:00 +0000 UTC	Crawl Down The Wall	Editors	The Back Room	https://www.last.fm/music/Editors/_/Crawl+Down+The+Wall
2019-01-03 11:05:00 +0000 UTC	Colours	Editors	The Back Room	https://www.last.fm/music/Editors/_/Colours
2019-01-03 11:10:00 +0000 UTC	Release	Editors	The Back Room	https://www.last.fm/music/Editors/_/Release
2019-01-03 11:13:00 +0000 UTC	Forest Fire	Editors	The Back Room	https://www.last.fm/music/Editors/_/Forest+Fire
