Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	dead cool	https://www.last.fm/tag/dead+cool
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	easy listening	https://www.last.fm/tag/easy+listening
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	golden oldies	https://www.last.fm/tag/golden+oldies
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	guitar	https://www.last.fm/tag/guitar
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	in english	https://www.last.fm/tag/in+english
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	instrumentals	https://www.last.fm/tag/instrumentals
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	leiwand - frontline	https://www.last.fm/tag/leiwand+-+frontline
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	leiwand - roots	https://www.last.fm/tag/leiwand+-+roots
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	leiwand - surf	https://www.last.fm/tag/leiwand+-+surf
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	leiwand4u fm	https://www.last.fm/tag/leiwand4u+fm
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	light	https://www.last.fm/tag/light
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	male	https://www.last.fm/tag/male
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	13	male vocalists	https://www.last.fm/tag/male+vocalists
Bobby Fuller Four	https://www.last.fm/music/Bobby+Fuller+Four	https://lastfm-img2.akamaized.net/i/u/300x300/4ddfdc313c374b39bb7d31dc0cd20d9a.jpg	3	me likey	https://www.last.fm/tag/me+likey
